id,company_name,location,sector,near_term_status,near_term_target_year
64,ALTANA AG,Alemanha,Produtos Químicos,Metas definidas,2032
65,Amapharm GmbH,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
66,Amprion GmbH,Alemanha,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Metas definidas,2032
67,Andechser Molkerei Scheitz GmbH,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
68,Andros Deutschland GmbH,Alemanha,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
69,apetito AG,Alemanha,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
70,Apleona,Alemanha,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2033
71,Arburg GmbH + Co KG,Alemanha,Equipamento e Maquinário Elétrico,Metas definidas,2030
72,Argus Additive Plastics GmbH,Alemanha,Produtos Químicos,Metas definidas,2030
73,Asica Holding GmbH,Alemanha,Varejo de Alimentos e Bens Essenciais,Comprometido,Não Informado
74,ATOS Gruppe GmbH & Co. KG,Alemanha,"Tecnologia, Provedores e Serviços de Saúde",Metas definidas,2030
75,August Faller GmbH & CO. KG,Alemanha,Recipientes e Embalagens,Comprometido,Não Informado
76,Aurubis AG,Alemanha,"Mineração - Ferro, Alumínio e Outros Metais",Metas definidas,2030
77,AutoScout24 GmbH,Alemanha,Varejo,Metas definidas,2030
78,Auvesy-MDT Holding GmbH,Alemanha,Software e Serviços,Metas definidas,2030
79,Avenga,Alemanha,Software e Serviços,Comprometido,Não Informado
80,Axel Springer SE,Alemanha,Mídia,Metas definidas,2030
81,BADER GmbH & Co. kG,Alemanha,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
82,Bahlsen GmbH & Co. KG,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
83,Balluff GmbH,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
84,BARLOG Plastics GmbH,Alemanha,Produtos Químicos,Metas definidas,2030
85,Bausch+Ströbel SE + Co. KG,Alemanha,Construção e Engenharia,Comprometido,Não Informado
86,Bayer AG,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Metas definidas,2029
87,Bayerische Milchindustrie eG,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2031
88,Baywa Global Produce,Alemanha,Varejo de Alimentos e Bens Essenciais,Metas definidas,2030
89,BDO AG Wirtschaftsprüfungsgesellschaft,Alemanha,Serviços Profissionais,Comprometido,Não Informado
90,Bechtel Naturkäsewerk GmbH & Co. KG,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
91,Bechtle AG,Alemanha,Hardware e Equipamento de Tecnologia,Comprometido,Não Informado
92,Beckers Group,Alemanha,Produtos Químicos,Comprometido,Não Informado
93,Behn Meyer Holding AG,Alemanha,Produtos Químicos,Metas definidas,2030
94,Beiersdorf AG,Alemanha,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Metas definidas,2032
95,Bergfreunde GmbH,Alemanha,Varejo,Metas definidas,2030
96,Bergzeit GmbH,Alemanha,Varejo,Metas definidas,2030
97,BERICAP Holding GmbH,Alemanha,Recipientes e Embalagens,Metas definidas,2034
98,Bertelsmann SE & Co. KGaA,Alemanha,Mídia,Metas definidas,2030
99,Bertrandt AG,Alemanha,Serviços Profissionais,Comprometido,Não Informado
100,Berylls Group GmbH,Alemanha,Serviços Profissionais,Metas definidas,2030
101,Best Plastic Management GmbH,Alemanha,Produtos Químicos,Metas definidas,2030
102,Betz Holding GmbH,Alemanha,Varejo de Alimentos e Bens Essenciais,Metas definidas,2030
103,BEUMER Group GmbH & Co. KG,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
104,Beurer GmbH,Alemanha,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Metas definidas,2034
105,BGH Edelstahlwerke GmbH,Alemanha,"Mineração - Ferro, Alumínio e Outros Metais",Metas definidas,2030
106,Bharat Forge Global Holding GmbH,Alemanha,Automóveis e Componentes,Comprometido,Não Informado
107,Bilfinger SE,Alemanha,Construção e Engenharia,Comprometido,Não Informado
108,Binder International GmbH & Co. KG,Alemanha,Varejo de Alimentos e Bens Essenciais,Metas definidas,2030
109,BioNTech SE,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Metas definidas,2030
110,Bischof + Klein Holding SE & Co. KG,Alemanha,Recipientes e Embalagens,Comprometido,Não Informado
111,BLG LOGISTICS GROUP AG & Co. KG,Alemanha,Transporte Aéreo de Carga e Logística,Metas definidas,2030
112,Blue MidCo GmbH,Alemanha,"Bancos, Finanças Diversas e Seguros",Comprometido,Não Informado
113,BMW Group,Alemanha,Automóveis e Componentes,Metas definidas,2030
114,Boehringer Ingelheim,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Metas definidas,2030
115,Borchers Transportlogistik NordWest GmbH,Alemanha,Transporte Terrestre - Caminhões,Metas definidas,2028
116,Borussia Dortmund GmbH & Co.KGaA,Alemanha,Serviços Especializados ao Consumidor,Comprometido,Não Informado
117,botek Präzisionsbohrtechnik GmbH,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
118,Brand Group SE & Co. KG,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Comprometido,Não Informado
119,Braunform,Alemanha,"Tecnologia, Provedores e Serviços de Saúde",Comprometido,Não Informado
120,Brenntag SE,Alemanha,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2034
121,BRITA SE,Alemanha,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Comprometido,Não Informado
122,Brookfield Properties Alemanha GmbH,Alemanha,Imóveis,Metas definidas,2030
123,Brückner Group SE,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
124,Burgmaier Group,Alemanha,Automóveis e Componentes,Comprometido,Não Informado
125,C&A B.V.,Alemanha,Varejo,Comprometido,Não Informado
126,CABB Chemicals,Alemanha,Produtos Químicos,Comprometido,Não Informado
127,Cabka,Alemanha,Recipientes e Embalagens,Comprometido,Não Informado
128,Cafea GmbH,Alemanha,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
129,Canyon Bicycles GmbH,Alemanha,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Metas definidas,2032
130,Careforce GmbH,Alemanha,"Tecnologia, Provedores e Serviços de Saúde",Comprometido,Não Informado
131,CARGOTRANS GmbH & Co. KG & die CARGOTRANS Transport GmbH,Alemanha,Transporte Terrestre - Caminhões,Metas definidas,2030
132,CECONOMY AG,Alemanha,Varejo,Metas definidas,2033
133,Celonis,Alemanha,Software e Serviços,Compromisso removido,Não Informado
134,CES Consulting Engineers Salzgitter GmbH,Alemanha,Serviços Profissionais,Metas definidas,2030
135,CETA Testsysteme GmbH,Alemanha,Equipamento e Maquinário Elétrico,Metas definidas,2030
136,CEWE Stiftung & Co. KGaA,Alemanha,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2025
137,CG CHEMIKALIEN GmbH & Co. HOLDING KG,Alemanha,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Comprometido,Não Informado
138,Chemisches Laboratorium Dr. Kurt Richter GmbH,Alemanha,Produtos Químicos,Metas definidas,2030
139,CHG-MERIDIAN AG (Group),Alemanha,Hardware e Equipamento de Tecnologia,Comprometido,Não Informado
140,CHIRON Group SE,Alemanha,Equipamento e Maquinário Elétrico,Metas definidas,2028
141,Chrestos Concept GmbH & Co. KG,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Metas definidas,2030
142,CHT Group,Alemanha,Produtos Químicos,Metas definidas,2030
143,ClimatePartner GmbH,Alemanha,Serviços Profissionais,Metas definidas,2030
144,Cloudflight GmbH,Alemanha,Software e Serviços,Comprometido,Não Informado
145,CMB Expo GmbH,Alemanha,Serviços Profissionais,Metas definidas,2030
146,COBANA GmbH & Co. KG,Alemanha,Varejo de Alimentos e Bens Essenciais,Metas definidas,2030
147,coliquio,Alemanha,Software e Serviços,Comprometido,Não Informado
148,colordruck Baiersbronn W. Mack GmbH & Co. KG,Alemanha,Recipientes e Embalagens,Metas definidas,2032
149,COMLINE Computer + Softwarelösungen SE,Alemanha,Software e Serviços,Metas definidas,2030
150,Commerzbank AG,Alemanha,"Bancos, Finanças Diversas e Seguros",Metas definidas,2026
151,COMPO Consumer GmbH,Alemanha,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Comprometido,Não Informado
152,Conditorei Coppenrath & Wiese KG,Alemanha,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
153,Conrad Electronic,Alemanha,Varejo,Comprometido,Não Informado
154,Contabo Holding GmbH,Alemanha,Serviços de Telecomunicação,Comprometido,Não Informado
155,Continental,Alemanha,Automóveis e Componentes,Metas definidas,2030
156,Contraf-Nicotex-Tobacco GmbH (CNT),Alemanha,Tabaco,Metas definidas,2030
157,Coolback GmbH,Alemanha,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
158,Cordenka GmbH & Co. KG,Alemanha,Produtos Químicos,Metas definidas,2030
159,cosnova beauty GmbH,Alemanha,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Metas definidas,2032
160,CR3-Kaffeeveredelung M. Hermsen GmbH,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
161,CRONIMET Holding GmbH,Alemanha,Companhias de Gestão de Resíduos Sólidos,Comprometido,Não Informado
162,CTJ Janssen GmbH,Alemanha,Transporte Terrestre - Caminhões,Comprometido,Não Informado
163,d-fine,Alemanha,Serviços Profissionais,Metas definidas,2030
164,dalli group,Alemanha,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Comprometido,Não Informado
165,DEKRA SE,Alemanha,Serviços Profissionais,Metas definidas,2030
166,Delivery Hero SE,Alemanha,Software e Serviços,Metas definidas,2032
167,Delta-Sport Handelskontor GmbH,Alemanha,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Comprometido,Não Informado
168,Deutsche Bahn AG,Alemanha,Transporte Terrestre - Estradas de Ferro,Metas definidas,2034
169,Deutsche Börse AG,Alemanha,"Serviços Financeiros Especializados, Financiamento ao Consumidor e Corretoras de Seguros",Metas definidas,2030
170,Deutsche Gesellschaft fur Internationale Zusammenarbeit GmbH (GIZ),Alemanha,Serviços Profissionais,Metas definidas,2025
171,Deutsche Glasfaser Group GmbH,Alemanha,Serviços de Telecomunicação,Metas definidas,2030
172,Deutsche Telekom AG,Alemanha,Serviços de Telecomunicação,Metas definidas,2030
173,Develey Polska Sp. z o.o.,Alemanha,Processamento de Alimentos e Bebidas,Compromisso removido,Não Informado
174,DF World of Spices GmbH,Alemanha,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
175,DFE Pharma,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Metas definidas,2030
176,"DFGE – Institute for Energy, Ecology and Economy GmbH",Alemanha,Serviços Profissionais,Metas definidas,2030
177,DHL Group,Alemanha,Transporte Aéreo de Carga e Logística,Metas definidas,2030
178,Diehl Metering GmbH,Alemanha,Hardware e Equipamento de Tecnologia,Comprometido,Não Informado
179,Digikett GmbH,Alemanha,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
180,DKV MOBILITY GROUP SE,Alemanha,Software e Serviços,Metas definidas,2030
181,DMG MORI AKTIENGESELLSCHAFT,Alemanha,Equipamento e Maquinário Elétrico,Metas definidas,2030
182,DMK Deutsches Milchkontor GmbH,Alemanha,Produção de Alimentos de Origem Animal,Metas definidas,2030
183,dmw – die mietwäsche,Alemanha,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2025
184,DocCheck AG,Alemanha,Serviços Profissionais,Metas definidas,2030
185,Döhler Group SE,Alemanha,Processamento de Alimentos e Bebidas,Compromisso removido,Não Informado
186,DOUGLAS GmbH,Alemanha,Varejo,Comprometido,Não Informado
187,Dr. August Oetker Nahrungsmittel KG,Alemanha,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
188,Dr. BABOR GmbH & Co. KG,Alemanha,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Compromisso removido,Não Informado
189,Dr. Ing. h.c. F. Porsche AG,Alemanha,Automóveis e Componentes,Compromisso removido,Não Informado
190,Dr. Otto Suwelack Nachf. GmbH&Co.KG,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
191,Dr. Sasse Gruppe,Alemanha,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Comprometido,Não Informado
192,DR.SCHNELL GmbH & Co. KGaA,Alemanha,Produtos Químicos,Comprometido,Não Informado
193,Drees & Sommer,Alemanha,Construção e Engenharia,Compromisso removido,Não Informado
194,"Dres. Schlegel + Schmidt, Med. Kommunikation GmbH",Alemanha,"Tecnologia, Provedores e Serviços de Saúde",Metas definidas,2030
195,DRYKORN MODEVERTRIEBS GMBH & CO. KG,Alemanha,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
196,DUO PLAST AG,Alemanha,Recipientes e Embalagens,Metas definidas,2030
197,Dürr Aktiengesellschaft,Alemanha,Construção e Engenharia,Metas definidas,2030
198,DWK Life Sciences,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Comprometido,Não Informado
199,DWS Group GmbH & Co. KGaA,Alemanha,"Bancos, Finanças Diversas e Seguros",Comprometido,Não Informado
200,e-hoch-3 eco impact experts GmbH & Co. KG,Alemanha,Serviços Profissionais,Metas definidas,2030
201,E.ON SE,Alemanha,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Metas definidas,2030
202,ebm-papst Mulfingen GmbH und Co. KG,Alemanha,Equipamento e Maquinário Elétrico,Metas definidas,2030
203,Eckes-Granini Group GmbH,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
204,Eco Polymers GmbH,Alemanha,Companhias de Gestão de Resíduos Sólidos,Metas definidas,2030
205,"EDEKA ZENTRALE Stiftung &Co.KG (Netto Marken-Discount Stiftung & Co. KG, BUDNI Handels & Service GmbH)",Alemanha,"Bens de Consumo Duráveis, Produtos Domésticos e Pessoais",Metas definidas,2032
206,Edelmann Group,Alemanha,Recipientes e Embalagens,Metas definidas,2030
207,EDELRID GmbH & Co. KG,Alemanha,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
208,EEW Group,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
209,eGroup Holding GmbH,Alemanha,Serviços de Telecomunicação,Metas definidas,2030
210,Eierhof Hennes GmbH,Alemanha,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
211,elaboratum,Alemanha,Serviços Profissionais,Metas definidas,2030
212,Ellerhold Oldenburg GmbH,Alemanha,Recipientes e Embalagens,Metas definidas,2030
213,Emil Löffelhardt GmbH & Co. KG,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
214,Emsland-Stärke GmbH,Alemanha,Produção de Alimentos Agrícolas,Comprometido,Não Informado
215,EnBW Energie Baden-Württemberg AG,Alemanha,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Metas definidas,2035
216,Encavis AG,Alemanha,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Metas definidas,2030
217,ENERCON,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
218,Engelhardt-Druck GmbH,Alemanha,Recipientes e Embalagens,Compromisso removido,Não Informado
219,Ensinger GmbH,Alemanha,Produtos Químicos,Metas definidas,2031
220,Entimo AG,Alemanha,Software e Serviços,Metas definidas,2030
221,EOS Holding AG,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
222,Eppendorf SE,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Comprometido,Não Informado
223,EPT,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
224,EQS Group AG,Alemanha,Software e Serviços,Comprometido,Não Informado
225,Ernst Beteiligungs GmbH,Alemanha,Automóveis e Componentes,Comprometido,Não Informado
226,ESG Book GmbH,Alemanha,Serviços Profissionais,Metas definidas,2030
227,Esri Deutschland GmbH,Alemanha,Software e Serviços,Comprometido,Não Informado
228,Etelser Käsewerk GmbH,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
229,Etimex Primary Packaging GmbH,Alemanha,Recipientes e Embalagens,Comprometido,Não Informado
230,EV Logistik GmbH,Alemanha,Transporte Terrestre - Caminhões,Metas definidas,2030
231,EVOMOTIV,Alemanha,Serviços Profissionais,Metas definidas,2030
232,Evonik Industries AG,Alemanha,Produtos Químicos,Metas definidas,2030
233,Evotec SE,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Metas definidas,2032
234,EWE AG,Alemanha,"Companhias de Energia Elétrica, Produtores Independentes e Comerciantes de Energia (incluindo Fóssil, Alternativa e Nuclear)",Metas definidas,2030
235,Excella GmbH & Co. KG,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Comprometido,Não Informado
236,Exyte GmbH,Alemanha,Construção e Engenharia,Compromisso removido,Não Informado
237,Fairventures Digital GmbH,Alemanha,Produção de Alimentos Agrícolas,Metas definidas,2030
238,familie redlich AG,Alemanha,Mídia,Metas definidas,2030
239,Feinmetall GmbH,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
240,Feldmuehle GmbH,Alemanha,Produtos Florestais,Metas definidas,2030
241,Ferdinand Walcher & C.F. Rees GmbH,Alemanha,Recipientes e Embalagens,Metas definidas,2030
242,Festo SE & Co. KG,Alemanha,Equipamento e Maquinário Elétrico,Metas definidas,2030
243,Fette Compacting GmbH,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
244,FEV Europe GmbH,Alemanha,Serviços Profissionais,Comprometido,Não Informado
245,Fidel Dreher GmbH,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
246,FIEGE Logistik Holding Stiftung & Co. KG,Alemanha,Transporte Aéreo de Carga e Logística,Comprometido,Não Informado
247,Finc3 Commerce GmbH,Alemanha,Mídia,Metas definidas,2030
248,Fischer GmbH & Co. KG,Alemanha,Automóveis e Componentes,Metas definidas,2030
249,fischerAppelt AG,Alemanha,Mídia,Comprometido,Não Informado
250,Flechtorfer Mühle Walter Thönebe GmbH,Alemanha,Produção de Alimentos Agrícolas,Metas definidas,2030
251,Flender International GmbH,Alemanha,Equipamento e Maquinário Elétrico,Metas definidas,2030
252,Flix SE,Alemanha,Transporte Terrestre - Caminhões,Metas definidas,2032
253,Fokus Zukunft GmbH & Co. KG,Alemanha,Serviços Profissionais,Metas definidas,2030
254,FOND OF GmbH,Alemanha,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
255,Forto Logistics SE & Co. KG,Alemanha,Transporte Aéreo de Carga e Logística,Metas definidas,2030
256,Fr. Schiettinger KG - Werk Brand,Alemanha,Produtos Florestais,Metas definidas,2030
257,Franz Kaldewei GmbH & Co. KG,Alemanha,Insumos de Construção,Metas definidas,2030
258,Franz Wiltmann GmbH & Co. KG,Alemanha,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
259,FREENOW,Alemanha,Software e Serviços,Metas definidas,2030
260,Frenzelit GmbH,Alemanha,Automóveis e Componentes,Comprometido,Não Informado
261,Fresenius Medical Care AG,Alemanha,"Tecnologia, Provedores e Serviços de Saúde",Comprometido,Não Informado
262,Friedrich Zufall GmbH & Co. KG Internationale Spedition,Alemanha,Transporte Terrestre - Caminhões,Comprometido,Não Informado
263,Fripa Papierfabrik Albert Friedrich KG,Alemanha,Produtos Florestais,Metas definidas,2030
264,frischli Milchwerke GmbH,Alemanha,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
265,fritz-kulturgüter gmbh,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
266,FRIWO AG,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
267,G. Güldenpfennig GmbH,Alemanha,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
268,GEA Group,Alemanha,Construção e Engenharia,Metas definidas,2030
269,Gebhardt-Stahl GmbH,Alemanha,Insumos de Construção,Metas definidas,2030
270,Gebr. Dürrbeck Kunststoffe GmbH,Alemanha,Produtos Químicos,Metas definidas,2030
271,Gebr. Heinemann SE & Co. KG,Alemanha,Varejo,Comprometido,Não Informado
272,Geiger GmbH,Alemanha,Automóveis e Componentes,Metas definidas,2030
273,GEKA,Alemanha,Recipientes e Embalagens,Metas definidas,2029
274,GENUI GmbH,Alemanha,"Bancos, Finanças Diversas e Seguros",Metas definidas,2027
275,Georgsmarienhütte Holding GmbH,Alemanha,"Mineração - Ferro, Alumínio e Outros Metais",Comprometido,Não Informado
276,Gerresheimer AG,Alemanha,Equipamentos e Suprimentos de Saúde,Comprometido,Não Informado
277,GFT Technologies,Alemanha,Serviços Profissionais,Metas definidas,2030
278,Giesecke+Devrient GmbH,Alemanha,Hardware e Equipamento de Tecnologia,Metas definidas,2030
279,Gissler&Pass GmbH,Alemanha,Recipientes e Embalagens,Metas definidas,2030
280,Glatt  GmbH,Alemanha,Equipamento e Maquinário Elétrico,Comprometido,Não Informado
281,Gluth Systemtechnik GmbH,Alemanha,Construção e Engenharia,Metas definidas,2030
282,Going Beyond Group GmbH,Alemanha,Serviços Especializados ao Consumidor,Comprometido,Não Informado
283,Goldschmaus Gruppe,Alemanha,Produção de Alimentos de Origem Animal,Comprometido,Não Informado
284,good healthcare group,Alemanha,Serviços Profissionais,Metas definidas,2030
285,GREIF Mietwäsche,Alemanha,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2025
